Date,VIX Open,VIX High,VIX Low,VIX Close
2014-12-12,20.51,23.06,18.34,21.08
2014-12-15,19.59,24.83,17.77,20.42
2014-12-16,23.55,25.2,19.6,23.57
2014-12-17,23.9,24.61,19.26,19.44
2014-12-18,17.14,18.51,16.07,16.81
2014-12-19,16.57,17.2,16.11,16.49
2014-12-22,16.32,16.88,15.03,15.25
2014-12-23,14.47,15.21,14.32,14.8
2014-12-24,14.52,14.54,14.01,14.37
2014-12-26,14.6,14.84,14.13,14.5
2014-12-29,16.04,16.14,15.06,15.06
2014-12-30,15.9,16.2,15.48,15.92
2014-12-31,15.91,19.91,15.86,19.2
2015-01-02,17.76,20.14,17.05,17.79
2015-01-05,19.19,21.29,19.19,19.92
2015-01-06,20.33,22.9,19.52,21.12
2015-01-07,20.15,20.72,19.04,19.31
2015-01-08,17.93,18.09,16.99,17.01
2015-01-09,16.44,18.42,16.44,17.55
2015-01-12,18.02,20.44,18.02,19.6
2015-01-13,18.21,21.58,17.65,20.56
2015-01-14,22.87,23.34,21.32,21.48
2015-01-15,21.23,23.31,20.86,22.39
2015-01-16,22.8,23.43,20.95,20.95
2015-01-20,20.07,21.37,19.58,19.89
2015-01-21,20.92,21.28,18.64,18.85
2015-01-22,17.98,19.23,16.07,16.4
2015-01-23,16.79,17.09,15.81,16.66
2015-01-26,16.96,17.43,15.52,15.52
2015-01-27,17.6,18.41,16.67,17.22
2015-01-28,16.97,20.44,16.92,20.44
2015-01-29,20.46,21.56,18.66,18.76
2015-01-30,20.23,22.18,19.24,20.97
2015-02-02,20.89,22.81,19.35,19.43
2015-02-03,18.41,18.89,17.2,17.33
2015-02-04,17.82,18.38,16.82,18.33
2015-02-05,17.29,17.43,16.67,16.85
2015-02-06,16.29,18.74,16.06,17.29
2015-02-09,19.16,19.28,18.21,18.55
2015-02-10,17.72,18.36,16.97,17.23
2015-02-11,17.43,17.81,16.82,16.96
2015-02-12,16.39,16.47,15.28,15.34
2015-02-13,15.11,15.64,14.69,14.69
2015-02-17,15.86,16.33,15.53,15.8
2015-02-18,16.74,16.74,15.44,15.45
2015-02-19,16.11,16.22,15.1,15.29
2015-02-20,15.73,16.29,14.27,14.3
2015-02-23,15.05,15.48,14.49,14.56
2015-02-24,14.5,14.63,13.53,13.69
2015-02-25,13.64,14.06,12.86,13.84
2015-02-26,13.55,14.57,13.55,13.91
2015-02-27,14.07,14.17,13.29,13.34
2015-03-02,13.9,13.9,12.87,13.04
2015-03-03,13.35,14.69,13.25,13.86
2015-03-04,14.31,15.33,14.13,14.23
2015-03-05,14.01,14.58,13.88,14.04
2015-03-06,14.61,15.83,14.18,15.2
2015-03-09,15.72,15.76,14.71,15.06
2015-03-10,16.47,16.91,16.03,16.69
2015-03-11,16.44,17.19,16.29,16.87
2015-03-12,16.45,16.45,15.3,15.42
2015-03-13,15.47,16.74,15.32,16.0
2015-03-16,15.78,15.89,15.36,15.61
2015-03-17,16.31,16.37,15.66,15.66
2015-03-18,14.6,16.29,13.38,13.97
2015-03-19,14.68,14.97,13.84,14.07
2015-03-20,13.52,13.53,12.54,13.02
2015-03-23,13.52,13.53,12.89,13.41
2015-03-24,13.36,13.68,12.59,13.62
2015-03-25,13.26,15.55,13.2,15.44
2015-03-26,16.64,17.19,15.23,15.8
2015-03-27,15.73,15.83,14.19,15.07
2015-03-30,14.76,14.76,14.08,14.51
2015-03-31,14.97,15.74,14.33,15.29
2015-04-01,15.32,16.66,15.08,15.11
2015-04-02,15.3,15.51,14.27,14.67
2015-04-06,15.75,15.76,14.04,14.74
2015-04-07,14.57,14.81,14.01,14.78
2015-04-08,14.59,14.77,13.75,13.98
2015-04-09,14.14,14.59,13.09,13.09
2015-04-10,13.2,13.26,12.51,12.58
2015-04-13,13.17,14.31,12.71,13.94
2015-04-14,14.34,14.74,13.64,13.67
2015-04-15,13.58,13.58,12.83,12.84
2015-04-16,13.27,13.35,12.5,12.6
2015-04-17,13.97,15.02,13.73,13.89
2015-04-20,13.67,13.67,12.83,13.3
2015-04-21,12.75,13.51,12.66,13.25
2015-04-22,12.97,13.8,12.57,12.71
2015-04-23,12.96,12.96,12.12,12.48
2015-04-24,12.21,13.02,12.16,12.29
2015-04-27,12.34,13.4,12.33,13.12
2015-04-28,13.26,14.23,12.41,12.41
2015-04-29,13.44,14.34,12.61,13.39
2015-04-30,13.89,15.29,12.49,14.55
2015-05-01,13.98,13.98,12.68,12.7
2015-05-04,13.12,13.18,12.1,12.85
2015-05-05,13.21,14.41,12.97,14.31
2015-05-06,13.93,16.36,13.89,15.15
2015-05-07,15.48,15.97,14.81,15.13
2015-05-08,13.36,13.42,12.7,12.86
2015-05-11,13.35,13.85,13.0,13.85
2015-05-12,14.73,15.13,13.73,13.86
2015-05-13,13.63,14.04,13.06,13.76
2015-05-14,13.14,13.29,12.72,12.74
2015-05-15,12.46,13.09,12.35,12.38
2015-05-18,13.08,13.22,12.55,12.73
2015-05-19,12.95,13.13,12.55,12.85
2015-05-20,12.9,13.27,12.62,12.88
2015-05-21,13.03,13.09,12.09,12.11
2015-05-22,12.37,12.37,11.82,12.13
2015-05-26,13.45,14.63,13.34,14.06
2015-05-27,14.16,14.41,13.05,13.27
2015-05-28,13.49,13.99,13.31,13.31
2015-05-29,13.59,14.43,13.4,13.84
2015-06-01,13.92,14.86,13.47,13.97
2015-06-02,14.72,15.05,13.59,14.24
2015-06-03,13.73,14.2,13.4,13.66
2015-06-04,14.57,15.49,13.99,14.71
2015-06-05,15.01,15.65,14.21,14.21
2015-06-08,14.84,15.5,14.67,15.29
2015-06-09,15.18,15.74,14.47,14.47
2015-06-10,14.24,14.37,12.96,13.22
2015-06-11,13.04,13.22,12.56,12.85
2015-06-12,13.31,14.02,13.3,13.78
2015-06-15,15.48,15.57,14.91,15.39
2015-06-16,15.62,15.62,14.81,14.81
2015-06-17,14.66,15.49,14.07,14.5
2015-06-18,14.03,14.03,12.54,13.19
2015-06-19,13.35,14.0,12.96,13.96
2015-06-22,13.42,13.46,12.43,12.74
2015-06-23,12.5,12.68,11.93,12.11
