Date,S&P PUT-CALL RATIO,S&P PUT VOLUME,S&P CALL VOLUME,PREV. DAY OPEN INTEREST
2014-12-12,2.49,1072264.0,430079.0,1502343.0
2014-12-15,2.46,913199.0,371125.0,1284324.0
2014-12-16,2.04,832336.0,408655.0,1240991.0
2014-12-17,2.63,1081379.0,411255.0,1492634.0
2014-12-18,1.05,764595.0,725399.0,1489994.0
2014-12-19,1.7,946019.0,557587.0,1503606.0
2014-12-22,1.53,474255.0,308987.0,783242.0
2014-12-23,1.85,510516.0,276001.0,786517.0
2014-12-24,1.62,275937.0,169843.0,445780.0
2014-12-26,1.09,422639.0,386234.0,808873.0
2014-12-29,1.34,355021.0,265433.0,620454.0
2014-12-30,1.8,580701.0,321781.0,902482.0
2014-12-31,1.48,577288.0,391298.0,968586.0
2015-01-02,2.6,789157.0,303486.0,1092643.0
2015-01-05,2.19,826362.0,377029.0,1203391.0
2015-01-06,1.92,754945.0,393452.0,1148397.0
2015-01-07,1.59,593878.0,373175.0,967053.0
2015-01-08,1.71,674509.0,393823.0,1068332.0
2015-01-09,2.04,685057.0,335827.0,1020884.0
2015-01-12,2.39,422785.0,176786.0,599571.0
2015-01-13,1.58,556711.0,352775.0,909486.0
2015-01-14,2.0,728716.0,365148.0,1093864.0
2015-01-15,1.71,703734.0,412082.0,1115816.0
2015-01-16,2.15,789481.0,366832.0,1156313.0
2015-01-20,2.03,434068.0,213535.0,647603.0
2015-01-21,2.03,605587.0,298892.0,904479.0
2015-01-22,1.86,600534.0,322789.0,923323.0
2015-01-23,1.93,765700.0,397370.0,1163070.0
2015-01-26,1.8,402960.0,224307.0,627267.0
2015-01-27,1.85,460497.0,248562.0,709059.0
2015-01-28,1.78,516112.0,290123.0,806235.0
2015-01-29,1.99,775728.0,390091.0,1165819.0
2015-01-30,2.53,848370.0,335027.0,1183397.0
2015-02-02,1.63,517383.0,317856.0,835239.0
2015-02-03,1.94,631515.0,324970.0,956485.0
2015-02-04,2.25,444060.0,197209.0,641269.0
