Date,declining,advancing,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,TRIN,future,mAvg,TRIN_prev
2014-12-12,2519.0,663.0,2020.5,2031.0,1997.5,1997.5,33.7,1997.2,28520.0,126742.0,0.22020325220409545,1997.5,,
2014-12-15,2407.0,778.0,2013.5,2018.5,1982.0,1991.0,7.2,1990.0,18085.0,101988.0,0.2688328051525539,1991.0,,0.22020325220409545
2014-12-16,1833.0,1335.0,1979.5,2016.0,1970.0,1971.2,18.4,1971.6,47088.0,88565.0,-0.17095276977130405,1971.2,,0.2688328051525539
2014-12-17,373.0,2833.0,1978.5,2015.5,1977.0,2013.0,42.6,2014.2,25866.0,70931.0,2.4169810096808084,2013.0,,-0.17095276977130405
2014-12-18,625.0,2570.0,2040.5,2064.0,2033.0,2064.0,50.8,2065.0,19568.0,65445.0,-0.6737814253406841,2064.0,,2.4169810096808084
2014-12-19,1129.0,2042.0,2060.7,2075.8,2057.0,2066.7,7.2,2067.1,13545.0,116027.0,-0.21156274565583613,2066.7,,-0.6737814253406841
2014-12-22,1342.0,1837.0,2065.6,2076.0,2064.4,2072.5,5.3,2072.4,6048.0,118774.0,0.21049287603517616,2072.5,,-0.21156274565583613
2014-12-23,1153.0,2033.0,2072.9,2084.2,2071.5,2079.1,6.5,2078.9,10300.0,117799.0,-0.19022248058331784,2079.1,,0.21049287603517616
2014-12-24,1577.0,1527.0,2078.2,2083.5,2077.0,2078.0,0.1,2078.8,833.0,120784.0,0.14325863133797712,2078.0,,-0.19022248058331784
2014-12-26,1041.0,2084.0,2081.4,2088.5,2081.4,2084.2,5.4,2084.2,1808.0,121097.0,-0.07798988688776842,2084.2,,0.14325863133797712
2014-12-29,1333.0,1843.0,2085.0,2088.7,2076.4,2085.6,1.6,2085.8,3368.0,122571.0,-0.059691940831935075,2085.6,,-0.07798988688776842
2014-12-30,1836.0,1325.0,2087.1,2088.2,2073.5,2076.5,9.1,2076.7,3885.0,122980.0,0.1591777232186377,2076.5,,-0.059691940831935075
2014-12-31,2044.0,1140.0,2077.9,2082.6,2051.3,2052.4,24.3,2052.4,4397.0,124030.0,0.5084706548346984,2052.4,,0.1591777232186377
2015-01-02,1423.0,1744.0,2055.0,2067.0,2039.5,2046.0,6.1,2046.3,5704.0,123911.0,0.2369202466755764,2046.0,,0.5084706548346984
2015-01-05,2460.0,750.0,2043.7,2048.1,2010.0,2016.2,30.4,2015.9,11355.0,124285.0,0.7957504202619247,2016.2,,0.2369202466755764
2015-01-06,2136.0,1041.0,2018.9,2023.2,1984.0,1994.9,21.5,1994.4,11845.0,125744.0,0.21121873339993624,1994.9,,0.7957504202619247
